station,Date,Time,NITRATE(PPM),PH,AMMONIA(mg/l),TEMP,DO,TURBIDITY,MANGANESE(mg/l),label
station1,02-02-2022,11:20:00,12.5,5.8,0.097,24.03,9.5,24.3,0.64,0
station1,02-02-2022,11:40:00,21.1,5.8,0.078,24.5,11.1,24.3,0.6,0
station1,02-02-2022,12:00:00,15.1,5.3,0.077,24.51,8,19.9,0.69,0
station1,02-02-2022,12:20:00,13.5,5.3,0.031,24.82,9.4,31.5,0.68,0
station1,02-02-2022,12:40:00,27.5,5,0.021,25.08,9.2,22.1,0.64,0
station1,02-02-2022,13:00:00,9.7,5.6,0.095,25.34,11.1,21.5,0.75,0
station1,02-02-2022,13:20:00,8.2,5.7,0.071,25.73,10,26.9,0.67,0
station1,02-02-2022,13:40:00,15,5.2,0.076,25.97,7.9,24.3,0.75,0
station1,02-02-2022,14:00:00,1.7,5.1,0.008,25.99,7.1,30.1,0.63,0
station1,02-02-2022,14:20:00,2.4,5.5,0.007,25.95,6.9,29.2,0.71,0
station1,02-02-2022,14:40:00,3.6,6,0.071,25.88,9.8,25.2,0.74,0
station1,02-02-2022,15:00:00,8.5,5.8,0.054,25.83,6.2,30,0.65,0
station1,02-02-2022,15:20:00,24.5,5.1,0.014,25.74,10.7,19.4,0.69,0
station1,02-02-2022,15:40:00,27.5,5.5,0.011,25.62,9,27.3,0.69,0
station1,02-02-2022,16:00:00,23.5,5.4,0.009,25.61,6.5,29.6,0.67,0
station1,02-02-2022,16:20:00,16.1,5.5,0.059,25.54,6.7,30.7,0.65,0
station1,02-02-2022,16:40:00,28.7,5,0.026,25.26,11.5,28.1,0.74,0
station1,02-02-2022,17:00:00,15.4,5.7,0.093,25.22,7.3,28.1,0.73,0
station1,02-02-2022,17:20:00,16.8,5.1,0.062,24.82,6.6,22.7,0.71,0
station1,02-02-2022,17:40:00,28.6,5.6,0.019,24.75,10.1,24.1,0.69,0
station1,02-02-2022,18:00:00,6.8,5.1,0.096,24.58,6.2,19.8,0.69,0
station1,02-02-2022,18:20:00,8.1,5.1,0.049,24.54,6.8,24.5,0.72,0
station1,02-02-2022,18:40:00,25.1,5.9,0.083,24.25,9.8,28.6,0.62,0
station1,02-02-2022,19:00:00,3.9,5,0.085,24.23,11.9,31.8,0.71,0
station1,02-02-2022,19:20:00,22.6,5.3,0.017,24.13,7.7,19.1,0.67,0
station1,02-02-2022,19:40:00,5.2,5.8,0.005,23.95,11.6,20,0.61,0
station1,02-02-2022,20:00:00,15.3,5.9,0.022,23.94,7.3,23.9,0.71,0
station1,02-02-2022,20:20:00,9.2,5.3,0.041,23.89,9,30.9,0.64,0
station1,02-02-2022,20:40:00,4.9,5.5,0.03,23.85,9.1,34.3,0.74,0
station1,02-02-2022,21:00:00,25.6,6,0.03,23.68,10.4,32,0.73,0
station1,02-02-2022,21:20:00,24.3,5,0.023,23.5,8.4,34.3,0.65,0
station1,02-02-2022,21:40:00,5.4,6,0.067,23.47,11.2,31.1,0.74,0
station1,02-02-2022,22:00:00,19.7,5,0.041,23.34,6.8,26.8,0.63,0
station1,02-02-2022,22:20:00,23,5.5,0.037,23.26,6.3,19.2,0.67,0
station1,02-02-2022,22:40:00,1.5,5,0.009,23.21,9.7,20,0.64,0
station1,02-02-2022,23:00:00,18.2,5.6,0.041,23.14,7.4,24.8,0.65,0
station1,02-02-2022,23:20:00,5.3,5.9,0.07,23.07,10.3,29.1,0.7,0
station1,02-02-2022,23:40:00,8.3,5,0.034,22.79,10.8,22.7,0.63,0
station1,02-02-2022,00:00:00,22,5.6,0.063,22.69,7.2,19.5,0.67,0
station1,02-02-2022,00:20:00,0.8,5.5,0.058,22.59,8.1,30.6,0.6,0
station1,02-02-2022,00:40:00,20.3,5.7,0.068,22.57,11.3,23.4,0.64,0
station1,02-02-2022,01:00:00,24.7,5.7,0.005,22.53,6.5,20.9,0.73,0
station1,02-02-2022,01:20:00,24.6,5.3,0.067,22.52,9.2,34.1,0.71,0
station1,02-02-2022,01:40:00,21.4,5.9,0.049,22.21,10.4,20.7,0.71,0
station1,02-02-2022,02:00:00,24.1,5.1,0.002,22.12,9.2,29.9,0.73,0
station1,02-02-2022,02:20:00,27,5,0.089,22.03,6.8,30.5,0.68,0
station1,02-02-2022,02:40:00,0.2,5.4,0.031,21.88,11.6,20.8,0.7,0
station1,02-02-2022,03:00:00,7.1,5.6,0.094,21.79,10.6,31.1,0.7,0
station1,02-02-2022,03:20:00,15,5.7,0.077,21.67,6.7,27.7,0.66,0
station1,02-02-2022,03:40:00,3.9,5.3,0.019,21.62,10.1,31.4,0.66,0
station1,02-02-2022,04:00:00,6.7,5,0.064,21.55,8.6,20.7,0.64,0
station1,02-02-2022,04:20:00,5,5.3,0.019,21.5,6.5,33.6,0.6,0
station1,02-02-2022,04:40:00,20.2,5.3,0.055,21.46,6.2,34.4,0.62,0
station1,02-02-2022,05:00:00,28.2,5.5,0.012,21.35,10.3,21.9,0.66,0
station1,02-02-2022,05:20:00,24.3,5.8,0.039,21.52,10.1,24,0.75,0
station1,02-02-2022,05:40:00,24.5,5.4,0.061,21.92,11.7,33.3,0.66,0
station1,02-02-2022,06:00:00,24.3,5.2,0.071,21.93,11.9,30.5,0.72,0
station1,02-02-2022,06:20:00,22.4,5.3,0.029,21.96,10.7,23.6,0.72,0
station1,02-02-2022,06:40:00,19.3,5.2,0.055,22.31,8.7,29.3,0.73,0
station1,02-02-2022,07:00:00,10.7,5.1,0.021,23.06,11.6,24.3,0.69,0
station1,03-02-2022,07:20:00,5.8,5.4,0.049,23.15,7.3,23.1,0.61,0
station1,03-02-2022,07:40:00,22.1,5.7,0.066,23.23,8.6,21.7,0.72,0
station1,03-02-2022,08:00:00,2.6,5.8,0.035,23.3,9.6,21.6,0.68,0
station1,03-02-2022,08:20:00,6.9,5,0.011,23.53,10.3,34,0.7,0
station1,03-02-2022,08:40:00,22.5,5.1,0.075,23.75,6.6,27.8,0.61,0
station1,03-02-2022,09:00:00,13.5,5.2,0.043,24.03,7.2,29.3,0.62,0
station1,03-02-2022,09:20:00,1.4,5.1,0.044,24.05,8.1,27,0.7,0
station1,03-02-2022,09:40:00,20.1,5.6,0.082,24.05,6.7,34.1,0.72,0
station1,03-02-2022,10:00:00,20.6,5.7,0.027,24.22,9.9,24.6,0.71,0
station1,03-02-2022,10:20:00,18.6,5.6,0.096,24.29,6,21.5,0.68,0
station1,03-02-2022,10:40:00,14.2,5.6,0.079,24.39,8.8,21.2,0.65,0
station1,03-02-2022,11:00:00,23.4,5.8,0.017,24.39,10.8,23.3,0.63,0
station1,03-02-2022,11:20:00,0.7,5,0.045,24.76,7.8,20.1,0.66,0
station1,03-02-2022,11:40:00,18.6,5.2,0.096,24.9,8.5,24.8,0.68,0
station1,03-02-2022,12:00:00,14,5.9,0.018,24.93,8.5,18.7,0.74,0
station1,03-02-2022,12:20:00,8.1,5.3,0.093,25.01,7.3,27,0.72,0
station1,03-02-2022,12:40:00,9.8,5.4,0.032,25.13,10.6,19.5,0.7,0
station1,03-02-2022,13:00:00,1.9,5.6,0.058,25.17,6.9,30.3,0.61,0
station1,03-02-2022,13:20:00,8.4,5.2,0.03,25.55,11.5,33.5,0.63,0
station1,03-02-2022,13:40:00,9.7,5.1,0.017,25.64,11.9,29.6,0.73,0
station1,03-02-2022,14:00:00,28.7,5.4,0.07,26.08,7.7,22.3,0.63,0
station1,03-02-2022,14:20:00,27.5,5.6,0.092,26.07,6.1,21.6,0.74,0
station1,03-02-2022,14:40:00,6.5,5.5,0.031,25.86,7.5,27.4,0.6,0
station1,03-02-2022,15:00:00,26.6,5.4,0.073,25.83,6,22.3,0.7,0
station1,03-02-2022,15:20:00,17.5,5.7,0.077,25.75,7,29.6,0.68,0
station1,03-02-2022,15:40:00,16.6,5.4,0.047,25.73,6.9,31.2,0.65,0
station1,03-02-2022,16:00:00,14.6,5.7,0.026,25.65,6.5,32,0.7,0
station1,03-02-2022,16:20:00,29.5,6,0.024,25.58,9.8,24.9,0.65,0
station1,03-02-2022,16:40:00,18.1,5.1,0.059,25.45,10.9,24.3,0.64,0
station1,03-02-2022,17:00:00,24.6,5.1,0.057,25.37,6,25.9,0.7,0
station1,03-02-2022,17:20:00,23.4,5.7,0.011,25.15,8,19.6,0.7,0
station1,03-02-2022,17:40:00,17,5.7,0.021,25.15,9.8,25.7,0.65,0
station1,03-02-2022,18:00:00,26.4,5.1,0.035,25.1,10.9,23.5,0.74,0
station1,03-02-2022,18:20:00,19.5,6,0.062,25.07,6.8,21.9,0.75,0
station1,03-02-2022,18:40:00,9.8,5.4,0.094,24.98,7.3,33.5,0.74,0
station1,03-02-2022,19:00:00,23.4,5.2,0.07,24.87,7.8,19.1,0.74,0
station1,03-02-2022,19:20:00,11,5,0.082,24.69,7.3,31.4,0.72,0
station1,03-02-2022,19:40:00,8.3,5.5,0.062,24.66,8.1,32.4,0.67,0
station1,03-02-2022,20:00:00,28.4,5.8,0.053,24.66,10.7,22.8,0.74,0
station1,03-02-2022,20:20:00,17.3,5.7,0.056,24.5,10.1,29.4,0.66,0
station1,03-02-2022,20:40:00,17.9,5.5,0.054,24.21,10.1,21.4,0.61,0
station1,03-02-2022,21:00:00,16.7,5.4,0.088,24.15,12,22.6,0.71,0
station1,03-02-2022,21:20:00,12.8,5.5,0.078,24.11,8.4,26.1,0.67,0
station1,03-02-2022,21:40:00,17.7,5,0.065,24.07,8.6,29.8,0.7,0
station1,03-02-2022,22:00:00,2.9,5.5,0.01,24.01,10.4,25.9,0.63,0
station1,03-02-2022,22:20:00,23.7,5.4,0.066,23.61,7.8,30.4,0.66,0
station1,03-02-2022,22:40:00,19.6,5.4,0.014,23.09,11.6,24.7,0.64,0
station1,03-02-2022,23:00:00,18.9,5.6,0.037,23.02,10.5,23.9,0.66,0
station1,03-02-2022,23:20:00,0.6,6,0.063,22.87,11.3,19.3,0.74,0
station1,03-02-2022,23:40:00,28.6,5.8,0.076,22.84,8.3,33.7,0.73,0
station1,03-02-2022,00:00:00,7.3,5.5,0.091,22.93,9.2,28.4,0.75,0
station1,03-02-2022,00:20:00,29.7,5.5,0.016,22.89,6.7,19.7,0.67,0
station1,03-02-2022,00:40:00,6.1,5.2,0.021,22.72,11.8,23.3,0.69,0
station1,03-02-2022,01:00:00,2.4,5,0.092,22.71,6.9,29.7,0.66,0
station1,03-02-2022,01:20:00,3.3,5.6,0.092,22.46,10.7,30.8,0.66,0
station1,03-02-2022,01:40:00,2.1,5.2,0.095,22.35,6.6,26.9,0.61,0
station1,03-02-2022,02:00:00,23.3,6,0.072,22.34,12,33.8,0.7,0
station1,03-02-2022,02:20:00,26.2,5.7,0.057,22.33,9.4,26.8,0.75,0
station1,03-02-2022,02:40:00,8,5.1,0.056,22.22,9.8,30.1,0.69,0
station1,03-02-2022,03:00:00,24.8,5.3,0.069,22.02,8.9,27.2,0.6,0
station1,03-02-2022,03:20:00,15.2,5,0.074,21.96,11.9,27.9,0.61,0
station1,03-02-2022,03:40:00,13.5,5.1,0.039,21.79,8.4,32.1,0.6,0
station1,03-02-2022,04:00:00,3.2,5.4,0.009,21.72,10.2,28.2,0.66,0
station1,03-02-2022,04:20:00,0.4,5,0.006,21.7,8.6,30.4,0.63,0
station1,03-02-2022,04:40:00,9.8,5.7,0.04,21.48,11.5,28.5,0.68,0
station1,03-02-2022,05:00:00,6.8,5.9,0.013,21.13,11.7,21.7,0.72,0
station1,03-02-2022,05:20:00,26.3,5,0.065,21.35,8.7,34.3,0.68,0
station1,03-02-2022,05:40:00,9.9,5,0.004,21.36,10,24.1,0.68,0
station1,03-02-2022,06:00:00,2.8,5,0.067,21.39,8.4,28.7,0.69,0
station1,03-02-2022,06:20:00,16.6,6,0.05,21.78,11.9,27.5,0.71,0
station1,03-02-2022,06:40:00,3.3,5.1,0.003,21.81,9,22.8,0.72,0
station1,03-02-2022,07:00:00,18.3,5.4,0.011,22.07,8.2,26.8,0.7,0
station1,04-02-2022,07:20:00,14.6,6,0.083,22.07,11,29.5,0.63,0
station1,04-02-2022,07:40:00,22.8,5.5,0.05,22.15,10.2,31.2,0.66,0
station1,04-02-2022,08:00:00,18.6,6,0.035,22.25,8.3,20.9,0.7,0
station1,04-02-2022,08:20:00,30,5.8,0.01,22.5,8.6,33,0.61,0
station1,04-02-2022,08:40:00,26.4,5.7,0.004,22.82,9.3,24.4,0.67,0
station1,04-02-2022,09:00:00,2.2,5.2,0.025,22.92,7.1,25.8,0.75,0
station1,04-02-2022,09:20:00,16.6,5.6,0.008,22.94,11.4,25.9,0.66,0
station1,04-02-2022,09:40:00,6.8,5.2,0.051,23.32,11.5,25.2,0.65,0
station1,04-02-2022,10:00:00,28.1,5.8,0.054,23.54,7.2,30,0.62,0
station1,04-02-2022,10:20:00,29.7,5,0.072,23.79,6.8,29.5,0.69,0
station1,04-02-2022,10:40:00,6.2,5.4,0.054,24.04,10.6,19.5,0.74,0
station1,04-02-2022,11:00:00,7,5.9,0.091,24.09,7.4,30.3,0.72,0
station1,04-02-2022,11:20:00,26.5,5.8,0.016,24.21,8.6,19.5,0.63,0
station1,04-02-2022,11:40:00,20.7,5.4,0.066,24.3,11,31.9,0.75,0
station1,04-02-2022,12:00:00,12.4,5.7,0.056,24.34,9.3,28.7,0.73,0
station1,04-02-2022,12:20:00,1.4,5.6,0.014,24.53,10.8,26.4,0.68,0
station1,04-02-2022,12:40:00,10.3,5.5,0.076,24.55,9.7,23.6,0.64,0
station1,04-02-2022,13:00:00,27.3,5.2,0.042,24.77,6.2,22.9,0.72,0
station1,04-02-2022,13:20:00,23.6,5,0.019,25.23,7.2,24,0.65,0
station1,04-02-2022,13:40:00,17.1,5.5,0.083,25.93,7.2,20.1,0.6,0
station1,04-02-2022,14:00:00,27.2,5.9,0.043,25.91,6.8,22.1,0.73,0
station1,04-02-2022,14:20:00,3.3,5.9,0.09,25.9,11.9,20.2,0.71,0
station1,04-02-2022,14:40:00,10.8,5.9,0.036,25.66,10,32.2,0.65,0
station1,04-02-2022,15:00:00,29.2,5,0.041,25.46,6.4,18.8,0.64,0
station1,04-02-2022,15:20:00,23.6,5.2,0.009,25.28,8,29.1,0.66,0
station1,04-02-2022,15:40:00,24.1,5.2,0.061,25.26,9,22.9,0.61,0
station1,04-02-2022,16:00:00,24.2,5.4,0.001,25.21,9.1,28.3,0.7,0
station1,04-02-2022,16:20:00,29.6,5.2,0.065,24.98,9.7,21.8,0.72,0
station1,04-02-2022,16:40:00,8.7,5.4,0.08,24.88,10.4,24.7,0.66,0
station1,04-02-2022,17:00:00,12.9,5.8,0.02,24.74,11.2,33.9,0.67,0
station1,04-02-2022,17:20:00,26.3,5.1,0.096,24.62,7.9,23,0.75,0
station1,04-02-2022,17:40:00,15.9,5.5,0.004,24.56,10.3,20.4,0.74,0
station1,04-02-2022,18:00:00,13.4,5.8,0.097,24.55,8.9,31.1,0.68,0
station1,04-02-2022,18:20:00,11,5.3,0.007,24.53,11.1,31.1,0.68,0
station1,04-02-2022,18:40:00,20.2,6,0.09,24.38,6,20.6,0.6,0
station1,04-02-2022,19:00:00,12.5,5.1,0.044,24.38,7.7,31.5,0.65,0
station1,04-02-2022,19:20:00,2.8,5,0.04,24.29,11.6,18.8,0.62,0
station1,04-02-2022,19:40:00,15.5,5.3,0.034,24.21,7.5,24.3,0.63,0
station1,04-02-2022,20:00:00,26.6,5.8,0.017,24.2,12,25.2,0.71,0
station1,04-02-2022,20:20:00,13.1,5,0.015,24.13,6.8,28.2,0.7,0
station1,04-02-2022,20:40:00,2.6,6,0.004,23.97,7,23.7,0.63,0
station1,04-02-2022,21:00:00,6.9,5.2,0.038,23.79,9.8,22.4,0.67,0
station1,04-02-2022,21:20:00,20.1,5.8,0.048,23.77,8,21,0.64,0
station1,04-02-2022,21:40:00,15.3,5.4,0.053,23.7,9.4,25.8,0.65,0
station1,04-02-2022,22:00:00,15.2,5.6,0.087,23.67,9.4,26.9,0.7,0
station1,04-02-2022,22:20:00,23.1,5,0.002,23.56,7.6,26.8,0.74,0
station1,04-02-2022,22:40:00,7.1,5.7,0.017,23.27,8.6,24.4,0.6,0
station1,04-02-2022,23:00:00,3.3,5,0.089,23.22,8.9,27.5,0.67,0
station1,04-02-2022,23:20:00,17.9,5.5,0.079,22.98,11.4,18.7,0.69,0
station1,04-02-2022,23:40:00,15.2,5.5,0.033,22.96,10.3,30,0.71,0
station1,04-02-2022,00:00:00,26.4,5.5,0.033,22.47,7.9,19.1,0.68,0
station1,04-02-2022,00:20:00,29.2,5.7,0.007,22.32,6.1,21.1,0.61,0
station1,04-02-2022,00:40:00,5.4,5.6,0.08,22.27,9.6,26.4,0.68,0
station1,04-02-2022,01:00:00,7.6,5,0.039,22.2,9.6,22.6,0.69,0
station1,04-02-2022,01:20:00,8.7,5.5,0.078,22.03,9.3,21.3,0.7,0
station1,04-02-2022,01:40:00,18.5,5.4,0.026,21.92,8.1,31.7,0.75,0
station1,04-02-2022,02:00:00,0.6,5.3,0.011,21.84,6.5,30,0.73,0
station1,04-02-2022,02:20:00,25.4,5.6,0.052,21.72,10.5,23,0.73,0
station1,04-02-2022,02:40:00,25.2,5.1,0.04,21.65,10.1,21.9,0.71,0
station1,04-02-2022,03:00:00,10.8,5.9,0.035,21.53,8.3,21.1,0.68,0
station1,04-02-2022,03:20:00,3.2,5.9,0.07,21.44,9.9,32.5,0.74,0
station1,04-02-2022,03:40:00,10.6,6,0.022,21.41,10.8,25.7,0.67,0
station1,04-02-2022,04:00:00,14.7,5.6,0.098,21.14,8.3,33.9,0.61,0
station1,04-02-2022,04:20:00,14.1,5.3,0.043,21.1,8.5,25.8,0.61,0
station1,04-02-2022,04:40:00,5.1,5.6,0.007,21.07,8.5,30.2,0.61,0
station1,04-02-2022,05:00:00,28.2,5.4,0.074,21.02,9.1,32.3,0.68,0
station1,04-02-2022,05:20:00,11.3,5.6,0.06,21.12,8.1,30.5,0.6,0
station1,04-02-2022,05:40:00,20.5,5.8,0.09,21.4,10.2,25.7,0.61,0
station1,04-02-2022,06:00:00,9.7,6,0.091,21.48,11.3,23.2,0.69,0
station1,04-02-2022,06:20:00,9.3,5.5,0.044,21.61,7.1,26.8,0.63,0
station1,04-02-2022,06:40:00,18.2,5.9,0.034,21.8,9.1,20.3,0.66,0
station1,04-02-2022,07:00:00,28.2,6,0.097,22.08,12,30.1,0.71,0
station1,05-02-2022,07:20:00,26.8,5.7,0.099,23.9,7.5,26.5,0.68,0
station1,05-02-2022,07:40:00,12.5,5.6,0.088,23.99,7.4,23.8,0.66,0
station1,05-02-2022,08:00:00,13.6,5.7,0.059,24.22,7.3,27.9,0.75,0
station1,05-02-2022,08:20:00,1.6,5.9,0.009,24.34,7.8,30.3,0.7,0
station1,05-02-2022,08:40:00,10.4,5.2,0.093,24.56,10.6,25.2,0.75,0
station1,05-02-2022,09:00:00,26.2,5.1,0.085,24.78,7.2,30.8,0.64,0
station1,05-02-2022,09:20:00,14.6,5.9,0.092,24.83,8.8,25.6,0.65,0
station1,05-02-2022,09:40:00,22.2,6,0.075,24.92,8.4,23.7,0.67,0
station1,05-02-2022,10:00:00,23.1,5,0.085,24.97,9.7,28.2,0.63,0
station1,05-02-2022,10:20:00,26.1,5,0.09,24.98,8.4,20.7,0.62,0
station1,05-02-2022,10:40:00,17.1,5,0.094,24.99,11.8,22.3,0.74,0
station1,05-02-2022,11:00:00,29.9,5.1,0.035,25.09,10.2,19.9,0.63,0
station1,05-02-2022,11:20:00,12.5,5,0.073,25.16,7.2,18.9,0.64,0
station1,05-02-2022,11:40:00,28.9,5.8,0.053,25.18,9,33.4,0.66,0
station1,05-02-2022,12:00:00,25,5.6,0.012,25.21,10,23.6,0.62,0
station1,05-02-2022,12:20:00,1.6,5.4,0.081,25.49,9.6,23.4,0.68,0
station1,05-02-2022,12:40:00,27.8,5.1,0.035,25.56,11,21.2,0.63,0
station1,05-02-2022,13:00:00,26.2,5,0.043,25.66,6.3,30,0.7,0
station1,05-02-2022,13:20:00,15.4,5.3,0.025,25.9,9.6,21.1,0.66,0
station1,05-02-2022,13:40:00,0.3,5.4,0.039,25.92,9.8,21.5,0.61,0
station1,05-02-2022,14:00:00,23,5.7,0.069,25.66,8.7,32.1,0.63,0
station1,05-02-2022,14:20:00,3,5.7,0.041,25.56,11.1,30.8,0.71,0
