Station,Date,NITRATE(PPM),PH,AMMONIA(mg/l),TEMP,DO,TURBIDITY,MANGANESE(mg/l)
station1,02-02-2022 11:40,21.1,5.8,0.1,14.67,11.1,25.5,0.6
station1,02-02-2022 12:00,15.1,5.3,0,15.24,8,77.4,0.69
station1,02-02-2022 12:20,13.5,5.3,0,17.28,9.4,76.1,0.68
station1,02-02-2022 12:40,27.5,5,0.1,16.7,9.2,6,0.64
station1,02-02-2022 13:00,9.7,5.6,0.1,15.85,11.1,26.3,0.75
station1,02-02-2022 13:20,8.2,5.7,0.1,14.55,10,69.5,0.67
station1,02-02-2022 13:40,15,5.2,0.1,15.2,7.9,11.2,0.75
station1,02-02-2022 14:00,1.7,5.1,0.1,19.33,7.1,42.8,0.63
station1,02-02-2022 14:20,2.4,5.5,0.1,17.52,6.9,10.5,0.71
station1,02-02-2022 14:40,3.6,6,0.1,17.13,9.8,54.7,0.74
station1,02-02-2022 15:00,8.5,5.8,0,14.62,6.2,9.1,0.65
station1,02-02-2022 15:20,24.5,5.1,0.1,14.87,10.7,54.2,0.69
station1,02-02-2022 15:40,27.5,5.5,0.1,16.44,9,16.6,0.69
station1,02-02-2022 16:00,23.5,5.4,0.1,15.05,6.5,20.8,0.67
station1,02-02-2022 16:20,16.1,5.5,0.1,16.11,6.7,73.5,0.65
station1,02-02-2022 16:40,28.7,5,0.1,17.89,11.5,79.3,0.74
station1,02-02-2022 17:00,15.4,5.7,0,14.77,7.3,71,0.73
station1,02-02-2022 17:19,16.8,5.1,0,18.71,6.6,73.8,0.71
station1,02-02-2022 17:39,28.6,5.6,0,17.03,10.1,9.6,0.69
station1,02-02-2022 17:59,6.8,5.1,0.1,15.17,6.2,55.6,0.69
station1,02-02-2022 18:19,8.1,5.1,0.1,14.16,6.8,6.9,0.72
station1,02-02-2022 18:39,25.1,5.9,0,16.84,9.8,78,0.62
station1,02-02-2022 18:59,3.9,5,0,16.75,11.9,76,0.71
station1,02-02-2022 19:19,22.6,5.3,0.1,17.91,7.7,85.2,0.67
station1,02-02-2022 19:39,5.2,5.8,0.1,15.03,11.6,33.5,0.61
station1,02-02-2022 19:59,15.3,5.9,0.1,16.39,7.3,72,0.71
station1,02-02-2022 20:19,9.2,5.3,0,15.22,9,6.3,0.64
station1,02-02-2022 20:39,4.9,5.5,0,17.83,9.1,31.8,0.74
station1,02-02-2022 20:59,25.6,6,0,18.98,10.4,55.7,0.73
station1,02-02-2022 21:19,24.3,5,0.1,18.16,8.4,34.4,0.65
station1,02-02-2022 21:39,5.4,6,0,17.05,11.2,84.6,0.74
station1,02-02-2022 21:59,19.7,5,0.1,19.77,6.8,4.7,0.63
station1,02-02-2022 22:19,23,5.5,0,15.68,6.3,48.5,0.67
station1,02-02-2022 22:39,1.5,5,0.1,15.99,9.7,10.8,0.64
station1,02-02-2022 22:59,18.2,5.6,0.1,19.65,7.4,23.3,0.65
station1,02-02-2022 23:19,5.3,5.9,0,15.09,10.3,32.5,0.7
station1,02-02-2022 23:39,8.3,5,0,18.25,10.8,17.4,0.63
station1,02-02-2022 23:59,25.2,5.1,0.1,17.19,8.6,72.3,0.72
station1,03-02-2022 00:19,22,5.6,0,14.8,7.2,82.5,0.67
station1,03-02-2022 00:39,0.8,5.5,0.1,14.42,8.1,30.2,0.6
station1,03-02-2022 00:59,20.3,5.7,0.1,14.82,11.3,23,0.64
station1,03-02-2022 01:19,24.7,5.7,0.1,14.68,6.5,63.8,0.73
station1,03-02-2022 01:39,24.6,5.3,0.1,14.13,9.2,32.7,0.71
station1,03-02-2022 01:59,21.4,5.9,0.1,14.81,10.4,1.6,0.71
station1,03-02-2022 02:19,24.1,5.1,0.1,18.92,9.2,32,0.73
station1,03-02-2022 02:39,27,5,0,17.98,6.8,82.2,0.68
station1,03-02-2022 02:59,0.2,5.4,0,17.86,11.6,78.9,0.7
station1,03-02-2022 03:19,7.1,5.6,0,19.54,10.6,35.1,0.7
station1,03-02-2022 03:39,15,5.7,0.1,19.22,6.7,41.1,0.66
station1,03-02-2022 03:59,3.9,5.3,0,15.64,10.1,69.1,0.66
station1,03-02-2022 04:19,6.7,5,0,19.97,8.6,63.4,0.64
station1,03-02-2022 04:39,5,5.3,0,18.83,6.5,35.3,0.6
station1,03-02-2022 04:59,20.2,5.3,0.1,19.65,6.2,13.6,0.62
station1,03-02-2022 05:19,28.2,5.5,0.1,17.5,10.3,71.6,0.66
station1,03-02-2022 05:39,24.3,5.8,0,18.34,10.1,65.4,0.75
station1,03-02-2022 05:59,24.5,5.4,0,19.64,11.7,35.1,0.66
station1,03-02-2022 06:19,24.3,5.2,0.1,18.18,11.9,38.1,0.72
station1,03-02-2022 06:39,22.4,5.3,0,18.49,10.7,32.2,0.72
station1,03-02-2022 06:59,19.3,5.2,0.1,17.03,8.7,66.7,0.73
station1,03-02-2022 07:19,10.7,5.1,0,18.57,11.6,87.7,0.69
station1,03-02-2022 07:39,5.8,5.4,0.1,15.79,7.3,14.4,0.61
station1,03-02-2022 07:59,22.1,5.7,0,15.35,8.6,4.5,0.72
station1,03-02-2022 08:19,2.6,5.8,0,19.37,9.6,9.3,0.68
station1,03-02-2022 08:39,6.9,5,0.1,14.76,10.3,10.7,0.7
station1,03-02-2022 08:59,22.5,5.1,0.1,15.49,6.6,63.8,0.61
station1,03-02-2022 09:19,13.5,5.2,0,16.67,7.2,30.5,0.62
station1,03-02-2022 09:39,1.4,5.1,0.1,15.12,8.1,58.2,0.7
station1,03-02-2022 09:59,20.1,5.6,0,16.28,6.7,59.3,0.72
station1,03-02-2022 10:19,20.6,5.7,0.1,17.14,9.9,49.2,0.71
station1,03-02-2022 10:39,18.6,5.6,0.1,18.5,6,31.2,0.68
station1,03-02-2022 10:59,14.2,5.6,0.1,14.22,8.8,19.3,0.65
station1,03-02-2022 11:19,23.4,5.8,0,18.45,10.8,23.3,0.63
station1,03-02-2022 11:39,0.7,5,0,19.95,7.8,61.9,0.66
station1,03-02-2022 11:59,18.6,5.2,0,16.32,8.5,87.9,0.68
station1,03-02-2022 12:19,14,5.9,0,19.17,8.5,41.3,0.74
station1,03-02-2022 12:39,8.1,5.3,0,15.79,7.3,46.3,0.72
station1,03-02-2022 12:59,9.8,5.4,0.1,15.74,10.6,22.1,0.7
station1,03-02-2022 13:19,1.9,5.6,0.1,17.85,6.9,86.6,0.61
station1,03-02-2022 13:39,8.4,5.2,0.1,14.9,11.5,50,0.63
station1,03-02-2022 13:59,9.7,5.1,0.1,19.34,11.9,46.9,0.73
station1,03-02-2022 14:19,28.7,5.4,0,17.78,7.7,55.1,0.63
station1,03-02-2022 14:39,27.5,5.6,0.1,17.29,6.1,7.2,0.74
station1,03-02-2022 14:59,6.5,5.5,0,19.74,7.5,14.9,0.6
station1,03-02-2022 15:19,26.6,5.4,0,19.45,6,55.2,0.7
station1,03-02-2022 15:39,17.5,5.7,0.1,16.67,7,52.8,0.68
station1,03-02-2022 15:59,16.6,5.4,0,16.47,6.9,83.4,0.65
station1,03-02-2022 16:19,14.6,5.7,0.1,19.62,6.5,18.2,0.7
station1,03-02-2022 16:39,29.5,6,0,16.28,9.8,29.6,0.65
station1,03-02-2022 16:59,18.1,5.1,0,17,10.9,66.9,0.64
station1,03-02-2022 17:19,24.6,5.1,0,15.24,6,58.1,0.7
station1,03-02-2022 17:39,23.4,5.7,0,14.21,8,2.5,0.7
station1,03-02-2022 17:59,17,5.7,0,14.35,9.8,53.6,0.65
station1,03-02-2022 18:19,26.4,5.1,0.1,19.67,10.9,85.6,0.74
station1,03-02-2022 18:39,19.5,6,0.1,18.55,6.8,11.9,0.75
station1,03-02-2022 18:59,9.8,5.4,0,14.58,7.3,48.4,0.74
station1,03-02-2022 19:19,23.4,5.2,0,14.06,7.8,3.3,0.74
station1,03-02-2022 19:39,11,5,0,15.39,7.3,6.1,0.72
station1,03-02-2022 19:59,8.3,5.5,0,15.37,8.1,6.6,0.67
station1,03-02-2022 20:19,28.4,5.8,0.1,14.62,10.7,44.8,0.74
station1,03-02-2022 20:39,17.3,5.7,0.1,19.49,10.1,31.3,0.66
station1,03-02-2022 20:59,17.9,5.5,0.1,17.16,10.1,13.4,0.61
station1,03-02-2022 21:19,16.7,5.4,0,14.98,12,71.3,0.71
station1,03-02-2022 21:39,12.8,5.5,0,17.17,8.4,41.1,0.67
station1,03-02-2022 21:59,17.7,5,0,14.8,8.6,38.3,0.7
station1,03-02-2022 22:19,2.9,5.5,0.1,17.3,10.4,88.5,0.63
station1,03-02-2022 22:39,23.7,5.4,0,16.6,7.8,70.7,0.66
station1,03-02-2022 22:59,19.6,5.4,0.1,15.89,11.6,11.8,0.64
station1,03-02-2022 23:19,18.9,5.6,0.1,17.95,10.5,76.2,0.66
station1,03-02-2022 23:39,0.6,6,0.1,19.5,11.3,48.5,0.74
station1,03-02-2022 23:59,28.6,5.8,0.1,14.65,8.3,14.5,0.73
station1,04-02-2022 00:19,7.3,5.5,0.1,16.01,9.2,25.4,0.75
station1,04-02-2022 00:39,29.7,5.5,0.1,15.55,6.7,14.4,0.67
station1,04-02-2022 00:59,6.1,5.2,0.1,15.43,11.8,13.4,0.69
station1,04-02-2022 01:19,2.4,5,0,14.29,6.9,37.6,0.66
station1,04-02-2022 01:39,3.3,5.6,0.1,14.8,10.7,55.8,0.66
station1,04-02-2022 01:59,2.1,5.2,0,15.25,6.6,46.7,0.61
station1,04-02-2022 02:19,23.3,6,0,19.3,12,85.9,0.7
station1,04-02-2022 02:39,26.2,5.7,0.1,19.76,9.4,48.3,0.75
station1,04-02-2022 02:59,8,5.1,0,18.85,9.8,83.8,0.69
station1,04-02-2022 03:19,24.8,5.3,0.1,16.43,8.9,61.8,0.6
station1,04-02-2022 03:39,15.2,5,0.1,16.64,11.9,76.8,0.61
station1,04-02-2022 03:59,13.5,5.1,0.1,14.76,8.4,32.9,0.6
station1,04-02-2022 04:19,3.2,5.4,0.1,14.07,10.2,80.4,0.66
station1,04-02-2022 04:39,0.4,5,0,17.69,8.6,68.6,0.63
station1,04-02-2022 04:59,9.8,5.7,0.1,18.68,11.5,66.8,0.68
station1,04-02-2022 05:19,6.8,5.9,0.1,18.4,11.7,31.7,0.72
station1,04-02-2022 05:39,26.3,5,0,17.34,8.7,44.4,0.68
station1,04-02-2022 05:59,9.9,5,0,14.28,10,10.1,0.68
station1,04-02-2022 06:19,2.8,5,0.1,18.41,8.4,73.4,0.69
station1,04-02-2022 06:39,16.6,6,0.1,15.88,11.9,15.8,0.71
station1,04-02-2022 06:59,3.3,5.1,0.1,19.65,9,54.5,0.72
station1,04-02-2022 07:19,18.3,5.4,0,16.12,8.2,6.8,0.7
station1,04-02-2022 07:39,14.6,6,0.1,14.39,11,55.3,0.63
station1,04-02-2022 07:59,22.8,5.5,0.1,17.13,10.2,15.5,0.66
station1,04-02-2022 08:19,18.6,6,0.1,18.91,8.3,45.8,0.7
station1,04-02-2022 08:39,30,5.8,0,15.86,8.6,60.1,0.61
station1,04-02-2022 08:59,26.4,5.7,0,19.07,9.3,16.9,0.67
station1,04-02-2022 09:19,2.2,5.2,0,16.7,7.1,58.7,0.75
station1,04-02-2022 09:39,16.6,5.6,0,19.01,11.4,30.9,0.66
station1,04-02-2022 09:59,6.8,5.2,0,16.25,11.5,28,0.65
station1,04-02-2022 10:19,28.1,5.8,0.1,14.28,7.2,57.1,0.62
station1,04-02-2022 10:39,29.7,5,0,18.06,6.8,11.8,0.69
station1,04-02-2022 10:59,6.2,5.4,0,14.13,10.6,29.9,0.74
station1,04-02-2022 11:19,7,5.9,0,16.26,7.4,27.4,0.72
station1,04-02-2022 11:39,26.5,5.8,0.1,14.62,8.6,50.7,0.63
station1,04-02-2022 11:59,20.7,5.4,0,18.24,11,88.7,0.75
station1,04-02-2022 12:19,12.4,5.7,0,18,9.3,84.8,0.73
station1,04-02-2022 12:39,1.4,5.6,0.1,17.67,10.8,83.5,0.68
station1,04-02-2022 12:59,10.3,5.5,0,15.15,9.7,11.5,0.64
station1,04-02-2022 13:19,27.3,5.2,0,16.24,6.2,10.3,0.72
station1,04-02-2022 13:39,23.6,5,0.1,15.11,7.2,18.7,0.65
station1,04-02-2022 13:59,17.1,5.5,0,15.6,7.2,20.9,0.6
station1,04-02-2022 14:19,27.2,5.9,0.1,19.83,6.8,30.4,0.73
station1,04-02-2022 14:39,3.3,5.9,0.1,17.36,11.9,23.1,0.71
station1,04-02-2022 14:59,10.8,5.9,0,19.98,10,19.6,0.65
station1,04-02-2022 15:19,29.2,5,0,16.32,6.4,86.8,0.64
station1,04-02-2022 15:39,23.6,5.2,0.1,17.99,8,51.5,0.66
station1,04-02-2022 15:59,24.1,5.2,0.1,18.05,9,45.5,0.61
station1,04-02-2022 16:19,24.2,5.4,0,16.19,9.1,8.1,0.7
station1,04-02-2022 16:39,29.6,5.2,0.1,14.17,9.7,57.2,0.72
station1,04-02-2022 16:59,8.7,5.4,0.1,14.06,10.4,60.7,0.66
station1,04-02-2022 17:19,12.9,5.8,0,19.9,11.2,79,0.67
station1,04-02-2022 17:39,26.3,5.1,0,16.05,7.9,15.2,0.75
station1,04-02-2022 17:59,15.9,5.5,0,17.23,10.3,25.3,0.74
station1,04-02-2022 18:19,13.4,5.8,0.1,15.14,8.9,43.7,0.68
station1,04-02-2022 18:39,11,5.3,0,14.77,11.1,69.6,0.68
station1,04-02-2022 18:59,20.2,6,0.1,16.55,6,12.8,0.6
station1,04-02-2022 19:19,12.5,5.1,0.1,14.4,7.7,4.7,0.65
station1,04-02-2022 19:39,2.8,5,0,18.73,11.6,80.6,0.62
station1,04-02-2022 19:59,15.5,5.3,0.1,19.61,7.5,39.4,0.63
station1,04-02-2022 20:19,26.6,5.8,0,19.18,12,34,0.71
station1,04-02-2022 20:39,13.1,5,0,18.84,6.8,1.4,0.7
station1,04-02-2022 20:59,2.6,6,0,14.77,7,62.7,0.63
station1,04-02-2022 21:19,6.9,5.2,0,16.4,9.8,45.9,0.67
station1,04-02-2022 21:39,20.1,5.8,0.1,17.14,8,70.5,0.64
station1,04-02-2022 21:59,15.3,5.4,0.1,19.16,9.4,29.6,0.65
station1,04-02-2022 22:19,15.2,5.6,0,14.61,9.4,60.9,0.7
station1,04-02-2022 22:39,23.1,5,0,19.83,7.6,43.6,0.74
station1,04-02-2022 22:59,7.1,5.7,0.1,18.18,8.6,68.4,0.6
station1,04-02-2022 23:19,3.3,5,0,17.26,8.9,10.3,0.67
station1,04-02-2022 23:39,17.9,5.5,0,15.34,11.4,84.7,0.69
station1,04-02-2022 23:59,15.2,5.5,0,16.57,10.3,80.7,0.71
station1,05-02-2022 00:19,26.4,5.5,0,16.78,7.9,15.7,0.68
station1,05-02-2022 00:39,29.2,5.7,0,15.74,6.1,20.7,0.61
station1,05-02-2022 00:59,5.4,5.6,0,17.09,9.6,44.4,0.68
station1,05-02-2022 01:19,7.6,5,0.1,18.84,9.6,46.6,0.69
station1,05-02-2022 01:39,8.7,5.5,0,19.73,9.3,23.1,0.7
station1,05-02-2022 01:59,18.5,5.4,0,19.47,8.1,77.2,0.75
station1,05-02-2022 02:19,0.6,5.3,0,18.51,6.5,34.3,0.73
station1,05-02-2022 02:39,25.4,5.6,0,16.53,10.5,50.1,0.73
station1,05-02-2022 02:59,25.2,5.1,0,17.72,10.1,46.3,0.71
station1,05-02-2022 03:19,10.8,5.9,0.1,15.88,8.3,76.2,0.68
station1,05-02-2022 03:39,3.2,5.9,0.1,16.52,9.9,39.9,0.74
station1,05-02-2022 03:59,10.6,6,0.1,19.64,10.8,80.5,0.67
station1,05-02-2022 04:19,14.7,5.6,0.1,15.56,8.3,36.2,0.61
station1,05-02-2022 04:39,14.1,5.3,0.1,16.85,8.5,34.4,0.61
station1,05-02-2022 04:59,5.1,5.6,0.1,19.86,8.5,63.9,0.61
station1,05-02-2022 05:19,28.2,5.4,0,17.38,9.1,49.8,0.68
station1,05-02-2022 05:39,11.3,5.6,0.1,16.14,8.1,33.9,0.6
station1,05-02-2022 05:59,20.5,5.8,0.1,16.35,10.2,19.9,0.61
station1,05-02-2022 06:19,9.7,6,0.1,18.06,11.3,87.3,0.69
station1,05-02-2022 06:39,9.3,5.5,0,17.35,7.1,52.5,0.63
station1,05-02-2022 06:59,18.2,5.9,0,19.41,9.1,0.8,0.66
station1,05-02-2022 07:19,28.2,6,0,16.38,12,59.6,0.71
station1,05-02-2022 07:39,26.8,5.7,0,15.6,7.5,2.5,0.68
station1,05-02-2022 07:59,12.5,5.6,0,15.96,7.4,81,0.66
station1,05-02-2022 08:19,13.6,5.7,0.1,15.43,7.3,35.6,0.75
station1,05-02-2022 08:39,1.6,5.9,0.1,19.99,7.8,40,0.7
station1,05-02-2022 08:59,10.4,5.2,0.1,16.57,10.6,44.7,0.75
station1,05-02-2022 09:19,26.2,5.1,0.1,16.66,7.2,60.6,0.64
station1,05-02-2022 09:39,14.6,5.9,0,14.75,8.8,86.9,0.65
station1,05-02-2022 09:59,22.2,6,0,15.21,8.4,74.1,0.67
station1,05-02-2022 10:19,23.1,5,0,16.05,9.7,69.2,0.63
station1,05-02-2022 10:39,26.1,5,0,19.39,8.4,88.5,0.62
station1,05-02-2022 10:59,17.1,5,0,19.44,11.8,88.9,0.74
station1,05-02-2022 11:19,29.9,5.1,0,15.64,10.2,57.4,0.63
station1,05-02-2022 11:39,12.5,5,0.1,18.33,7.2,51.3,0.64
station1,05-02-2022 11:59,28.9,5.8,0,19.76,9,14.2,0.66
station1,05-02-2022 12:19,25,5.6,0.1,18.64,10,24.5,0.62
station1,05-02-2022 12:39,1.6,5.4,0,15.91,9.6,3.9,0.68
station1,05-02-2022 12:59,27.8,5.1,0.1,14.06,11,67.9,0.63
station1,05-02-2022 13:19,26.2,5,0.1,17.35,6.3,67.2,0.7
station1,05-02-2022 13:39,15.4,5.3,0.1,17.21,9.6,51.6,0.66
station1,05-02-2022 13:59,0.3,5.4,0.1,17.41,9.8,0.6,0.61
station1,05-02-2022 14:19,23,5.7,0,18.56,8.7,70.4,0.63
station1,05-02-2022 14:39,3,5.7,0.1,18.77,11.1,24.5,0.71
station1,05-02-2022 14:59,23.1,5.2,0.1,18.8,9.6,57.2,0.71
station1,05-02-2022 15:19,26.8,5.3,0.1,14.83,7,39.8,0.69
station1,05-02-2022 15:39,20.1,5.4,0.1,15.07,8.8,83.9,0.71
station1,05-02-2022 15:59,5.2,6,0,18.89,10.5,58.9,0.74
station1,05-02-2022 16:19,0.2,6,0.1,16.18,8.6,56.4,0.65
station1,05-02-2022 16:39,17,5.7,0.1,16.72,6.3,45.3,0.66
station1,05-02-2022 16:59,20.8,5.4,0.1,18.3,10.8,4.5,0.74
station1,05-02-2022 17:19,6.9,5.5,0,19.35,8.7,47.8,0.69
station1,05-02-2022 17:39,3,5.2,0.1,18.32,8.2,45.2,0.67
station1,05-02-2022 17:59,17.4,5.9,0,15.76,8.2,18,0.73
station1,05-02-2022 18:19,4.9,5.9,0.1,16.14,7.8,55.5,0.73
station1,05-02-2022 18:39,13.6,6,0.1,18.3,7.8,53.6,0.71
station1,05-02-2022 18:59,23.7,6,0.1,15.73,9.4,66.4,0.61
station1,05-02-2022 19:19,15.5,5,0,18.52,8.8,82.3,0.65
station1,05-02-2022 19:39,19.4,5.8,0.1,18.07,11.9,44.6,0.67
station1,05-02-2022 19:59,21.6,5,0.1,18.48,10.1,61,0.75
station1,05-02-2022 20:19,19.9,5.4,0.1,14.68,9.2,16.3,0.73
station1,05-02-2022 20:39,20.9,6,0,16.22,8,77.8,0.65
station1,05-02-2022 20:59,13.2,5.5,0.1,16.85,6.1,53.1,0.67
station1,05-02-2022 21:19,16.1,6,0.1,16.85,6.6,72.4,0.69
station1,05-02-2022 21:39,14.8,5.6,0.1,19.83,10.1,65.3,0.62
station1,05-02-2022 21:59,11.5,5.4,0.1,16.13,6.4,81.8,0.63
station1,05-02-2022 22:19,18.4,5,0,14.97,8,89,0.64
station1,05-02-2022 22:39,26.5,5.9,0,18.71,10.9,42.3,0.63
station1,05-02-2022 22:59,21.9,5.8,0,14.68,10.4,36.3,0.7
station1,05-02-2022 23:19,16.3,5.1,0,19.61,9.9,88.9,0.61
station1,05-02-2022 23:39,21.4,5.5,0.1,16.43,10.5,30.9,0.65
station1,05-02-2022 23:59,5.2,5.3,0,18.88,9.5,25.3,0.71
station1,06-02-2022 00:19,16.4,5.3,0,14.32,10,76.5,0.72
station1,06-02-2022 00:39,21.2,5.9,0.1,14.95,11.7,89.6,0.65
station1,06-02-2022 00:59,22.3,5,0.1,17.4,7,68.9,0.71
station1,06-02-2022 01:19,4.1,5.2,0.1,19.81,10.8,85.2,0.67
station1,06-02-2022 01:39,27.4,5.5,0.1,14.23,7.3,76.5,0.64
station1,06-02-2022 01:59,9.5,5.5,0,14.05,10,23.8,0.71
station1,06-02-2022 02:19,19.2,5.7,0.1,18.85,9.5,38.8,0.65
station1,06-02-2022 02:39,8.8,6,0,19.47,10.4,66.8,0.72
station1,06-02-2022 02:59,7.6,6,0,16.23,9,29.1,0.62
